id,course_group,source_area,liberal_area,completion_type,completion_type_raw,course_code,course_name,section,professor,department,credits,class_hours,lecture_type,seats_total,seats_left,time_raw,target_raw,notes
C0001,major,AI소프트웨어학부,,전선,전선-AI소프트웨어,2150156801,Co-op클라우드트랙(AI-PaaS 기초),,최종석,SW교육팀,6,6,,23,0,"화 15:00-16:15 (조만식기념관 12203-최종석)
화 16:30-17:45 (조만식기념관 12203-최종석)
목 15:00-16:15 (조만식기념관 12406-최종석)
목 16:30-17:45 (조만식기념관 12406-최종석)",전체,
C0002,major,AI소프트웨어학부,,전선,전선-AI소프트웨어,2150059401,[심화]Co-op SAP 트랙,,"홍지만
최종석",SW교육팀,6,6,,18,0,"월 화 18:00-19:15 (전산관 19328 (첨단PC실습실)-홍지만)
수 목 18:00-19:15 (전산관 19328 (첨단PC실습실)-최종석)",전체,
C0003,major,AI소프트웨어학부,,전선,전선-AI소프트웨어,2150164005,고급AI수학,(공통-재수강),박중석,AI소프트웨어학부,3,3,,43,7,"화 09:00-10:15 (정보과학관 21301-박중석)
화 10:30-11:45 (정보과학관 21301-박중석)","전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부",
C0004,major,AI소프트웨어학부,,전선,전선-AI소프트웨어,2150164108,고급프로그래밍,(공통-재수강),권재환,AI소프트웨어학부,3,4,,24,6,"화 15:00-15:50 (정보과학관 21305 (이철희실습실)-권재환)
화 16:00-16:50 (정보과학관 21305 (이철희실습실)-권재환)
목 15:00-15:50 (정보과학관 21305 (이철희실습실)-권재환)
목 16:00-16:50 (정보과학관 21305 (이철희실습실)-권재환)","전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부",
C0005,major,AI소프트웨어학부,,전선,전선-AI소프트웨어,2150162205,기초AI수학,(공통-재수강),박중석,AI소프트웨어학부,3,3,,48,2,"화 13:30-14:45 (벤처중소기업센터 10311-박중석)
화 15:00-16:15 (벤처중소기업센터 10311-박중석)","전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부",
C0006,major,AI소프트웨어학부,,전필,전필-AI소프트웨어,2150163704,머신러닝,(공통-재수강),최형광,AI소프트웨어학부,3,3,,40,10,수 금 15:00-16:15 (정보과학관 21301-최형광),"전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부",
C0007,major,AI소프트웨어학부,,전기,전기-AI소프트웨어,2150162304,이산수학,(공통-재수강),이재일,AI소프트웨어학부,3,3,,40,0,화 목 10:30-11:45 (정보과학관 21303-이재일),"전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부",
C0008,major,AI소프트웨어학부,,전필,전필-AI소프트웨어,2150163206,자료구조,(공통-재수강),권재환,AI소프트웨어학부,3,3,,30,20,화 금 13:30-14:45 (정보과학관 21304-권재환),"전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부",
C0009,major,AI소프트웨어학부,,전선,전선-AI소프트웨어,2150163806,컴퓨터구조,(공통-재수강),하석재,AI소프트웨어학부,3,3,,16,34,월 수 18:00-19:15 (정보과학관 21202 (이준호강의실)-하석재),"전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부",
C0010,major,AI소프트웨어학부,,전기,전기-AI소프트웨어,2150161407,프로그래밍기초1,(공통-재수강),김익수,AI소프트웨어학부,3,4,,29,1,"월 13:00-13:50 (정보과학관 21305 (이철희실습실)-김익수)
월 14:00-14:50 (정보과학관 21305 (이철희실습실)-김익수)
목 13:00-13:50 (정보과학관 21305 (이철희실습실)-김익수)
목 14:00-14:50 (정보과학관 21305 (이철희실습실)-김익수)","전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부",
